Order_Dt;Order_ID;Driver_ID;Order_Value;Order_Status
2021-08-27;739226389519;9151650;207.16;CONCLUDED
2021-08-29;344828009092;436235;203.23;CONCLUDED
2021-08-31;541981354669;4046943;70.73;CANCELLED
2021-08-24;572366563468;6861897;105.11;CONCLUDED
2021-08-30;778599474467;981758;184.03;CONCLUDED
2021-08-30;689420030041;4196453;96.97;CONCLUDED
2021-08-26;528805268835;4416157;206.26;CONCLUDED
2021-08-18;510204463718;436235;32.48;CONCLUDED
2021-08-22;872312277017;3054311;30.29;CONCLUDED
2021-08-25;326686936761;6639810;205.9;CONCLUDED
2021-08-22;880421229871;1918675;198.1;CONCLUDED
2021-08-30;984124726519;3770456;99.35;CONCLUDED
2021-08-23;751308289471;4601228;64.86;CONCLUDED
2021-08-19;968291562058;2264595;81.66;CONCLUDED
2021-08-31;287320440150;3076884;42.55;CONCLUDED
2021-08-20;602979193415;8047922;19.47;CONCLUDED
2021-08-21;616756109805;571074;36.22;CONCLUDED
2021-08-23;089825502057;4736936;34.77;CONCLUDED
2021-08-28;466404275713;5202082;42.75;CONCLUDED
2021-08-30;415512912436;6971770;94.13;CANCELLED
2021-08-21;410506145140;7668772;15.18;CONCLUDED
2021-08-28;232359363721;1793648;23.23;CONCLUDED
2021-08-31;919683580506;3964835;19.98;CONCLUDED
2021-08-23;767396343471;2771576;101.81;CONCLUDED
2021-08-27;400902262138;6808390;155.65;CONCLUDED
2021-08-19;956654246568;5777879;115.28;CANCELLED
2021-08-23;380612480321;443221;89.7;CANCELLED
2021-08-28;337695628830;7733668;24.15;CONCLUDED
2021-08-17;962157988548;8963375;32.9;CONCLUDED
2021-08-17;743720305325;6971770;73.25;CONCLUDED
2021-08-28;622299237605;2353779;70.42;CONCLUDED
2021-08-31;190565610787;6020373;41.63;CONCLUDED
2021-08-22;964377212541;6348466;90.07;CONCLUDED
2021-08-30;549534873475;4709338;71.95;CONCLUDED
2021-08-20;142793597092;1872971;38.4;CONCLUDED
2021-08-22;195066089802;2124495;67.96;CONCLUDED
